ve_num,ve_type,ve_make,ve_year
52,passenger car,NISSAN,1996.0
53,passenger car,BUICK,1993.0
54,passenger car,HONDA,1994.0
55,passenger car,HONDA,1985.0
56,pickup or panel truck,GMC,1999.0
57,pedestrian,,
58,pickup or panel truck,GMC,2001.0
59,pickup or panel truck,TOYOTA,1987.0
60,passenger car,FORD,1994.0
61,other vehicle,DODGE,1983.0
62,motorcycle or scooter,YAMAHA,2001.0
63,passenger car,FORD,1998.0
64,passenger car,TOYOTA,1989.0
65,passenger car,FORD,1988.0
66,passenger car,JEEP,1999.0
67,pickup or panel truck,FORD,1986.0
68,pickup or panel truck,FORD,1996.0
69,passenger car,HONDA,1999.0
70,passenger car,FORD,1990.0
71,passenger car,LEXUS,2001.0
72,pickup or panel truck,ISUZU,2000.0
73,passenger car,FORD,1996.0
74,passenger car,TOYOTA,1980.0
75,passenger car,FORD,1989.0
76,pickup or panel truck,CHEVROLET,2000.0
77,pickup or panel truck,TOYOTA,2000.0
78,motorcycle or scooter,HARLEY-DAVIDSON,1999.0
79,passenger car,DODGE,1993.0
80,passenger car,CHEVROLET,1996.0
81,passenger car,HONDA,1995.0
82,pickup or panel truck,GMC,1981.0
83,motorcycle or scooter,TOYOTA,1994.0
84,pickup or panel truck,CHEVROLET,1991.0
85,pickup or panel truck,TOYOTA,1986.0
86,passenger car,CHEVROLET,1994.0
87,other bus,OTHER - BUS,1997.0
88,bicycle,TOYOTA,1998.0
89,bicycle,TOYOTA,1994.0
90,passenger car,FORD,1993.0
91,passenger car,,
92,pickup or panel truck,NISSAN,1995.0
93,passenger car,NISSAN,
94,passenger car,VOLVO,1998.0
95,passenger car,INFINITI,2002.0
96,passenger car,TOYOTA,1992.0
97,passenger car,TOYOTA,1998.0
98,truck or truck tractor with trailer,FREIGHTLINER,1992.0
99,passenger car,HONDA,1993.0
100,passenger car,PONTIAC,1997.0
101,pickup or panel truck,NISSAN,2000.0
102,passenger car,VOLVO,1990.0
103,passenger car,OLDSMOBILE,1996.0
104,pickup or panel truck,CHEVROLET,1988.0
105,passenger car,VOLKSWAGEN,2000.0
106,pickup or panel truck,GMC,1985.0
107,passenger car,MERCURY,1985.0
108,pickup or panel truck,TOYOTA,1995.0
109,pickup or panel truck,TOYOTA,1981.0
110,passenger car,FORD,1999.0
111,passenger car,MERCURY,1995.0
112,passenger car,MITSUBISHI,1995.0
113,bicycle,,
114,passenger car,FORD,1991.0
115,passenger car,SUZUKI,1995.0
116,passenger car,HONDA,2001.0
117,passenger car,AUDI,1994.0
118,pickup or panel truck with trailer,FORD,1990.0
119,passenger car,HONDA,1997.0
120,passenger car,DODGE,1999.0
121,pickup or panel truck with trailer,,
122,pickup or panel truck with trailer,TOYOTA,1994.0
123,passenger car,MAZDA,1997.0
124,passenger car,SUZUKI,1998.0
125,pickup or panel truck,FORD,1994.0
126,passenger car,NISSAN,1991.0
127,passenger car,BMW,2001.0
128,truck or truck tractor with trailer,FREIGHTLINER,2000.0
129,passenger car,MITSUBISHI,1991.0
130,passenger car,BMW,1984.0
131,passenger car,TOYOTA,2000.0
132,passenger car,MAZDA,2001.0
133,passenger car,PLYMOUTH,1990.0
134,passenger car,TOYOTA,1994.0
135,passenger car,MERCURY,1998.0
136,passenger car,CHEVROLET,2000.0
137,passenger car,MAZDA,1999.0
138,other vehicle,,
139,truck or truck tractor,INTERNATIONAL HARVESTER,1999.0
140,passenger car,TOYOTA,
141,passenger car,KIA,2001.0
142,passenger car,JEEP,1992.0
143,passenger car,OLDSMOBILE,2001.0
144,passenger car,TOYOTA,1993.0
145,passenger car,OTHER - AUTO,
146,passenger car,BUICK,1998.0
147,passenger car,FORD,1992.0
148,passenger car,CHEVROLET,1977.0
149,other vehicle,VOLVO,1994.0
150,passenger car,DODGE,1985.0
151,passenger car,OLDSMOBILE,1993.0
152,passenger car,MAZDA,1990.0
153,passenger car,ACURA,1988.0
154,passenger car,JEEP,1988.0
155,passenger car,PORSCHE,1976.0
156,passenger car,KIA,1997.0
157,passenger car,HONDA,1983.0
158,passenger car,CHEVROLET,1981.0
159,pickup or panel truck,DODGE,2002.0
160,passenger car,TOYOTA,1990.0
161,passenger car,LINCOLN,1998.0
162,pickup or panel truck,TOYOTA,1994.0
163,passenger car,DODGE,1997.0
164,passenger car,VOLKSWAGEN,1990.0
165,passenger car,TOYOTA,1997.0
166,passenger car,JAGUAR,1985.0
167,passenger car,CHRYSLER,1998.0
168,passenger car,TOYOTA,1999.0
169,passenger car,PONTIAC,2002.0
170,truck or truck tractor with trailer,FREIGHTLINER,1999.0
171,passenger car,LINCOLN,1999.0
172,passenger car,VOLKSWAGEN,2002.0
173,passenger car,CHEVROLET,1987.0
174,passenger car,NISSAN,1989.0
175,emergency vehicle,FORD,1999.0
176,passenger car,NISSAN,2000.0
177,passenger car,MITSUBISHI,2001.0
178,passenger car,SATURN,1999.0
179,other vehicle,FORD,1998.0
180,passenger car,,1999.0
181,pickup or panel truck,CHEVROLET,1970.0
182,passenger car,AUDI,2001.0
183,passenger car,HONDA,1998.0
184,emergency vehicle,FORD,1997.0
185,truck or truck tractor,VOLVO,2000.0
186,passenger car,CHEVROLET,1999.0
187,pickup or panel truck,NISSAN,1992.0
188,passenger car,HONDA,1988.0
189,passenger car,DODGE,1995.0
190,truck or truck tractor,VOLVO,1998.0
191,passenger car,INFINITI,1999.0
192,passenger car,HONDA,1980.0
193,passenger car,SATURN,2000.0
194,pickup or panel truck,DODGE,2000.0
195,pickup or panel truck,FORD,1993.0
196,passenger car,FORD,1973.0
197,passenger car,TOYOTA,2002.0
198,passenger car,NISSAN,1993.0
199,truck or truck tractor with trailer,KENWORTH,1996.0
200,passenger car,CHEVROLET,1983.0
201,passenger car,MERCURY,1992.0
202,passenger car,NISSAN,1997.0
203,passenger car,VOLKSWAGEN,1997.0
204,,BUICK,
205,passenger car,TOYOTA,1995.0
206,passenger car,PLYMOUTH,2000.0
207,passenger car,FORD,1984.0
208,pickup or panel truck,TOYOTA,1984.0
209,passenger car,MERCEDES-BENZ,1986.0
210,passenger car,LEXUS,1995.0
211,pickup or panel truck,TOYOTA,1988.0
212,passenger car,PORSCHE,1989.0
213,passenger car,LEXUS,2000.0
214,passenger car,BUICK,2000.0
215,passenger car,NISSAN,1998.0
216,passenger car,PONTIAC,1999.0
217,passenger car,ISUZU,1995.0
218,passenger car,GMC,2000.0
219,passenger car,FORD,2001.0
220,passenger car,PLYMOUTH,1993.0
221,passenger car,JEEP,1989.0
222,other bus,OTHER - BUS,1996.0
223,passenger car,FORD,1985.0
224,passenger car,ISUZU,1997.0
225,truck or truck tractor,CHEVROLET,1998.0
226,truck or truck tractor,FORD,1968.0
227,passenger car,MITSUBISHI,1999.0
228,passenger car,GMC,1996.0
229,passenger car,GMC,1995.0
230,truck or truck tractor,FORD,1989.0
231,passenger car,INFINITI,1994.0
232,passenger car,HYUNDAI,2000.0
233,passenger car,CHEVROLET,1989.0
234,pickup or panel truck,DODGE,1996.0
235,passenger car,OLDSMOBILE,1986.0
236,pickup or panel truck,FORD,1998.0
237,passenger car,HONDA,1987.0
238,passenger car,LINCOLN,1996.0
239,passenger car,PONTIAC,1996.0
240,passenger car,PLYMOUTH,1997.0
241,passenger car,BUICK,1997.0
242,,OTHER - AUTO,
243,passenger car,TOYOTA,1996.0
244,passenger car,MERCURY,2002.0
245,passenger car,AUDI,1988.0
246,passenger car,LEXUS,1991.0
247,passenger car,BUICK,1996.0
248,truck or truck tractor,CHEVROLET,1999.0
249,passenger car,PLYMOUTH,1988.0
250,passenger car,HONDA,1992.0
251,passenger car,SATURN,1994.0
252,pickup or panel truck,DODGE,
253,truck or truck tractor,INTERNATIONAL HARVESTER,2002.0
254,passenger car,CHEVROLET,1992.0
255,passenger car,VOLKSWAGEN,1961.0
256,truck or truck tractor with trailer,INTERNATIONAL HARVESTER,1991.0
257,passenger car,LEXUS,1992.0
258,passenger car,NISSAN,2001.0
259,pickup or panel truck,FREIGHTLINER,2000.0
260,pickup or panel truck,CHEVROLET,1980.0
261,passenger car,LEXUS,1993.0
262,passenger car,BUICK,2002.0
263,passenger car,BUICK,1987.0
264,passenger car,HONDA,2002.0
265,pickup or panel truck,FORD,1995.0
266,passenger car,LEXUS,2002.0
267,passenger car,SUZUKI,1992.0
268,passenger car,HONDA,1986.0
269,passenger car,ACURA,1997.0
270,passenger car,HONDA,2000.0
271,passenger car,MERCEDES-BENZ,2002.0
272,truck or truck tractor with trailer,VOLVO,1998.0
273,pickup or panel truck,TOYOTA,1989.0
274,passenger car,SATURN,1993.0
275,passenger car,CHEVROLET,1993.0
276,pickup or panel truck,NISSAN,2001.0
277,truck or truck tractor with trailer,KENWORTH,1998.0
278,pickup or panel truck,GMC,1976.0
279,passenger car,JEEP,1998.0
280,passenger car,HYUNDAI,2002.0
281,passenger car,CHRYSLER,1995.0
282,motorcycle or scooter,HARLEY-DAVIDSON,2001.0
283,,BMW,1995.0
284,passenger car,INFINITI,2001.0
285,passenger car,TRIUMPH,1980.0
286,passenger car,CHEVROLET,1995.0
287,passenger car,HONDA,1996.0
288,passenger car,LINCOLN,2001.0
289,passenger car,CHRYSLER,1994.0
290,passenger car,CADILLAC,1970.0
291,pickup or panel truck,TOYOTA,1993.0
292,passenger car,MITSUBISHI,1990.0
293,passenger car,MITSUBISHI,1997.0
294,truck or truck tractor with trailer,KENWORTH,2000.0
295,passenger car,PORSCHE,1985.0
296,passenger car,CHEVROLET,
297,passenger car,OLDSMOBILE,1999.0
298,passenger car,JAGUAR,1984.0
299,passenger car,MAZDA,1989.0
300,motorcycle or scooter,YAMAHA,1988.0
301,other bus,FORD,1994.0
302,passenger car,OLDSMOBILE,1998.0
303,passenger car,BMW,1992.0
304,passenger car,TOYOTA,1985.0
305,pickup or panel truck,FORD,1969.0
306,passenger car,JEEP,2002.0
307,pickup or panel truck,CHEVROLET,1996.0
308,passenger car,DODGE,1994.0
309,passenger car,ACURA,1994.0
310,passenger car,FORD,1977.0
311,passenger car,ISUZU,1987.0
312,passenger car,FORD,2002.0
313,pickup or panel truck,CHEVROLET,1985.0
314,passenger car,MAZDA,1996.0
315,passenger car,CHEVROLET,2001.0
316,passenger car,JEEP,1995.0
317,passenger car,AUDI,1989.0
318,pickup or panel truck,TOYOTA,2001.0
319,pickup or panel truck,TOYOTA,1998.0
320,passenger car,PEUGEOT,1988.0
321,passenger car,VOLKSWAGEN,1977.0
322,passenger car,BMW,1998.0
323,passenger car,ACURA,1999.0
324,pickup or panel truck,TOYOTA,1992.0
325,passenger car,CHRYSLER,1993.0
326,pickup or panel truck with trailer,CHEVROLET,1992.0
327,pickup or panel truck with trailer,CHEVROLET,1999.0
328,,BUICK,1976.0
329,pickup or panel truck,GMC,1997.0
330,passenger car,OLDSMOBILE,1989.0
331,passenger car,MITSUBISHI,1988.0
332,passenger car,BMW,1989.0
333,passenger car,VOLKSWAGEN,2001.0
334,other bus,DODGE,1998.0
335,passenger car,HONDA,1990.0
336,pickup or panel truck with trailer,FREIGHTLINER,1998.0
337,passenger car,VOLVO,1981.0
338,passenger car,BMW,1995.0
339,other vehicle,CHRYSLER,1998.0
340,passenger car,FORD,
341,passenger car,SATURN,2002.0
342,passenger car,NISSAN,1987.0
343,passenger car,VOLVO,1972.0
344,truck or truck tractor,CHEVROLET,1996.0
345,passenger car,CADILLAC,1986.0
346,other vehicle,JEEP,1986.0
347,passenger car,VOLKSWAGEN,1984.0
348,passenger car,MAZDA,1994.0
349,passenger car,JEEP,1993.0
350,pickup or panel truck,OTHER - TRUCK,
351,passenger car,VOLVO,1997.0
352,passenger car,SUBARU,1996.0
353,passenger car,MITSUBISHI,1994.0
354,pickup or panel truck,FORD,1976.0
355,passenger car,JEEP,1994.0
356,passenger car,CHEVROLET,1986.0
357,passenger car,BUICK,2001.0
358,passenger car,OLDSMOBILE,1979.0
359,pickup or panel truck,FORD,1966.0
360,passenger car,MERCURY,2001.0
361,passenger car,PONTIAC,1982.0
362,passenger car,PLYMOUTH,1977.0
363,passenger car,ACURA,1995.0
364,passenger car,TOYOTA,1986.0
365,passenger car,HYUNDAI,2001.0
366,passenger car,MAZDA,1998.0
367,passenger car,ACURA,1996.0
368,passenger car,HYUNDAI,1990.0
369,passenger car,NISSAN,2002.0
370,passenger car,LEXUS,1990.0
371,pickup or panel truck,FORD,2000.0
372,passenger car,GMC,1999.0
373,passenger car,DODGE,1977.0
374,passenger car,SATURN,1996.0
375,passenger car,MERCEDES-BENZ,2000.0
376,passenger car,FORD,1979.0
377,passenger car,LINCOLN,2002.0
378,motorcycle or scooter,SUZUKI,2001.0
379,passenger car,ISUZU,1990.0
380,passenger car,FORD,1986.0
381,passenger car,ACURA,1998.0
382,passenger car,TOYOTA,1983.0
383,passenger car,DODGE,1998.0
384,passenger car,MITSUBISHI,1996.0
385,passenger car,CHRYSLER,2002.0
386,passenger car,STERLING,1990.0
387,passenger car,NISSAN,1995.0
388,truck or truck tractor with trailer,KENWORTH,1994.0
389,passenger car,ACURA,1993.0
390,other vehicle,CHEVROLET,1990.0
391,passenger car,ACURA,1986.0
392,passenger car,BMW,1990.0
393,pickup or panel truck,CHEVROLET,
394,passenger car,VOLVO,2001.0
395,passenger car,PONTIAC,1976.0
396,passenger car,OLDSMOBILE,1982.0
397,passenger car,BUICK,1988.0
398,motorcycle or scooter,HONDA,1983.0
399,passenger car,CHRYSLER,2001.0
400,passenger car,CHEVROLET,1988.0
401,passenger car,CHEVROLET,2002.0
402,motorcycle or scooter,PLYMOUTH,1993.0
403,pickup or panel truck,GMC,1986.0
404,passenger car,NISSAN,1990.0
405,passenger car,MERCURY,1991.0
406,passenger car,CADILLAC,2000.0
407,pickup or panel truck,JEEP,
408,,TOYOTA,1983.0
409,,DODGE,1991.0
410,passenger car,OTHER - AUTO,1990.0
411,passenger car,CHEVROLET,1982.0
412,passenger car,VOLKSWAGEN,1999.0
413,passenger car,PONTIAC,1992.0
414,passenger car,MERCEDES-BENZ,1984.0
415,truck or truck tractor with trailer,PETERBILT,1997.0
416,passenger car,DAEWOO,2000.0
417,pickup or panel truck,CHEVROLET,1975.0
418,passenger car,DODGE,1988.0
419,passenger car,PONTIAC,1985.0
420,pickup or panel truck,GMC,1996.0
421,passenger car,OLDSMOBILE,1983.0
422,pickup or panel truck,VOLKSWAGEN,1968.0
423,pickup or panel truck,JEEP,1994.0
424,passenger car,OLDSMOBILE,1994.0
425,pickup or panel truck,FORD,1974.0
426,passenger car,BMW,1988.0
427,pickup or panel truck,DODGE,1998.0
428,passenger car,FORD,1965.0
429,pickup or panel truck,NISSAN,1993.0
430,passenger car,JEEP,1997.0
431,passenger car,MAZDA,1985.0
432,passenger car,ACURA,1992.0
433,pickup or panel truck,NISSAN,1991.0
434,passenger car,MERCEDES-BENZ,1999.0
435,passenger car,MAZDA,1992.0
436,passenger car,ACURA,2002.0
437,pickup or panel truck,FORD,
438,passenger car,VOLKSWAGEN,1988.0
439,passenger car,MERCEDES-BENZ,1994.0
440,pickup or panel truck,FORD,1992.0
441,passenger car,MERCEDES-BENZ,2001.0
442,passenger car,BMW,1997.0
443,pickup or panel truck,CHEVROLET,1995.0
444,passenger car,TOYOTA,1988.0
445,passenger car,OLDSMOBILE,2000.0
446,passenger car,HYUNDAI,1995.0
447,passenger car,BUICK,1991.0
448,pickup or panel truck,GRUMMAN,1992.0
449,passenger car,DODGE,2002.0
450,passenger car,NISSAN,1988.0
451,passenger car,HYUNDAI,1993.0
452,pickup or panel truck,CHEVROLET,1983.0
453,passenger car,PONTIAC,2001.0
454,passenger car,CHEVROLET,1965.0
455,pickup or panel truck,DODGE,1988.0
456,passenger car,TOYOTA,1987.0
457,pickup or panel truck with trailer,DODGE,1985.0
458,passenger car,OLDSMOBILE,1997.0
459,passenger car,ACURA,2000.0
460,passenger car,AMERICAN MOTORS (AMC),1998.0
461,passenger car,SATURN,1998.0
462,passenger car,RENAULT,1982.0
463,passenger car,OLDSMOBILE,1988.0
464,passenger car,PLYMOUTH,1985.0
465,emergency vehicle,CHEVROLET,1998.0
466,passenger car,LEXUS,1999.0
467,passenger car,JAGUAR,1991.0
468,passenger car,MAZDA,1991.0
469,passenger car,PORSCHE,2000.0
470,passenger car,HYUNDAI,1996.0
471,passenger car,CADILLAC,1989.0
472,emergency vehicle,FORD,1998.0
473,pickup or panel truck,NISSAN,1984.0
474,,HONDA,
475,,VOLVO,1999.0
476,truck or truck tractor,FORD,1998.0
477,other vehicle,HONDA,1998.0
478,passenger car,SUBARU,1997.0
479,passenger car,LINCOLN,
480,motorcycle or scooter,BMW,1980.0
481,passenger car,VOLVO,1980.0
482,passenger car,JEEP,1996.0
483,schoolbus,FREIGHTLINER,1999.0
484,passenger car,CHRYSLER,1989.0
485,passenger car,ACURA,1990.0
486,passenger car,VOLKSWAGEN,1966.0
487,passenger car,KIA,1996.0
488,truck or truck tractor,WHITE GMC,1991.0
489,passenger car,VOLKSWAGEN,1991.0
490,passenger car,HONDA,1984.0
491,passenger car,LEXUS,1994.0
492,pickup or panel truck,FORD,1979.0
493,pickup or panel truck with trailer,FORD,1992.0
494,passenger car,SATURN,2001.0
495,pickup or panel truck,CHEVROLET,1993.0
496,passenger car,CHEVROLET,1978.0
497,passenger car,HYUNDAI,
498,passenger car,MAZDA,1988.0
499,motorcycle or scooter,YAMAHA,1998.0
500,pickup or panel truck,MAZDA,1986.0
501,passenger car,JEEP,1990.0
502,pickup or panel truck,ISUZU,1986.0
503,passenger car,LEXUS,1998.0
504,passenger car,MERCURY,1997.0
505,schoolbus,CROWN (BUS),1979.0
506,passenger car,MERCEDES-BENZ,1980.0
507,passenger car,INFINITI,1991.0
508,pickup or panel truck,NISSAN,1987.0
509,truck or truck tractor with trailer,KENWORTH,1987.0
510,pickup or panel truck,FORD,1987.0
511,schoolbus,OTHER - SCHOOL BUS,1981.0
512,passenger car,OLDSMOBILE,1992.0
513,passenger car,BMW,1986.0
514,passenger car,MERCURY,1990.0
515,passenger car,BMW,2000.0
516,other vehicle,PETERBILT,2001.0
517,truck or truck tractor with trailer,INTERNATIONAL HARVESTER,2000.0
518,passenger car,DODGE,1986.0
519,pickup or panel truck,GMC,1972.0
520,passenger car,MERCURY,1987.0
521,pickup or panel truck,CHEVROLET,2001.0
522,passenger car,OLDSMOBILE,1995.0
523,pickup or panel truck,FORD,1991.0
524,pickup or panel truck,GMC,2000.0
525,passenger car,HYUNDAI,1997.0
526,passenger car,PONTIAC,1988.0
527,pickup or panel truck with trailer,CHEVROLET,1991.0
528,passenger car,ISUZU,2002.0
529,passenger car,BUICK,
530,passenger car,CADILLAC,1998.0
531,passenger car,HYUNDAI,1999.0
532,truck or truck tractor with trailer,INTERNATIONAL HARVESTER,1996.0
533,passenger car,VOLVO,1988.0
534,other vehicle,FORD,1990.0
535,passenger car,BUICK,1984.0
536,passenger car,DODGE,1989.0
537,passenger car,MERCURY,1993.0
538,pickup or panel truck,GMC,1991.0
539,passenger car,MERCEDES-BENZ,1982.0
540,other vehicle,TOYOTA,1998.0
541,other vehicle,PLYMOUTH,1994.0
542,other bus,OTHER - BUS,1992.0
543,passenger car,OLDSMOBILE,1990.0
544,passenger car,MERCEDES-BENZ,1989.0
545,other vehicle,CHEVROLET,1997.0
546,pickup or panel truck,TOYOTA,1990.0
547,passenger car,DODGE,1990.0
548,passenger car,LINCOLN,1986.0
549,passenger car,NISSAN,1985.0
550,pickup or panel truck,FORD,1982.0
551,pickup or panel truck,GMC,1995.0
552,,NISSAN,1988.0
553,other vehicle,FORD,2000.0
554,pickup or panel truck,TOYOTA,1983.0
555,passenger car,MERCURY,1983.0
556,passenger car,TOYOTA,1984.0
557,passenger car,VOLVO,1984.0
558,passenger car,OLDSMOBILE,1984.0
559,passenger car,PONTIAC,1990.0
560,pickup or panel truck with trailer,TOYOTA,1992.0
561,passenger car,CHEVROLET,1972.0
562,passenger car,DATSUN,1981.0
563,,CHEVROLET,1998.0
564,pickup or panel truck with trailer,FORD,1976.0
565,other vehicle,JEEP,1997.0
566,passenger car,PLYMOUTH,1967.0
567,passenger car,JAGUAR,2002.0
568,truck or truck tractor,ISUZU,1995.0
569,emergency vehicle,FORD,2001.0
570,passenger car,KIA,1995.0
571,pickup or panel truck,CHEVROLET,1998.0
572,passenger car,HYUNDAI,1998.0
573,passenger car,MITSUBISHI,2002.0
574,pickup or panel truck,CHEVROLET,1990.0
575,schoolbus,WAYNE,1978.0
576,truck or truck tractor with trailer,FREIGHTLINER,1996.0
577,pickup or panel truck,CHEVROLET,1997.0
578,pickup or panel truck,FORD,1997.0
579,pickup or panel truck,GMC,1988.0
580,passenger car,CADILLAC,2001.0
581,truck or truck tractor with trailer,PETERBILT,2001.0
582,passenger car,PONTIAC,1995.0
583,pickup or panel truck,DODGE,1994.0
584,passenger car,OLDSMOBILE,2002.0
585,passenger car,PONTIAC,1998.0
586,passenger car,VOLKSWAGEN,1995.0
587,schoolbus,THOMAS (BUS),1999.0
588,truck or truck tractor with trailer,FREIGHTLINER,1983.0
589,passenger car,VOLKSWAGEN,1992.0
590,passenger car,CHRYSLER,2000.0
591,passenger car,PLYMOUTH,1992.0
592,schoolbus,FORD,1987.0
593,schoolbus,THOMAS (BUS),1986.0
594,truck or truck tractor,FORD,1999.0
595,pickup or panel truck,MAZDA,1992.0
596,other bus,GMC,1981.0
597,schoolbus,CHEVROLET,1990.0
598,pickup or panel truck,CHEVROLET,1966.0
599,pickup or panel truck,,2000.0
600,truck or truck tractor,PETERBILT,1990.0
601,passenger car,PLYMOUTH,1998.0
602,truck or truck tractor with trailer,KENWORTH,1988.0
603,truck or truck tractor,PETERBILT,1989.0
604,truck or truck tractor with trailer,PETERBILT,1986.0
605,truck or truck tractor,FORD,2000.0
606,passenger car,VOLVO,2002.0
607,passenger car,VOLVO,1977.0
608,pickup or panel truck,CHEVROLET,1978.0
609,truck or truck tractor,OTHER - TRUCK,2001.0
610,passenger car with trailer,FORD,1999.0
611,truck or truck tractor with trailer,FREIGHTLINER,1987.0
612,passenger car,GMC,2001.0
613,pickup or panel truck,DODGE,2001.0
614,passenger car,MITSUBISHI,2000.0
615,truck or truck tractor with trailer,MACK,2001.0
616,passenger car,ACURA,1989.0
617,passenger car,SUBARU,2002.0
618,pickup or panel truck,ISUZU,1997.0
619,passenger car,MERCURY,1996.0
620,passenger car,BMW,1985.0
621,passenger car,CHRYSLER,1984.0
622,truck or truck tractor,FREIGHTLINER,1993.0
623,truck or truck tractor with trailer,KENWORTH,1991.0
624,passenger car,BUICK,1982.0
625,pickup or panel truck,NISSAN,1996.0
626,motorcycle or scooter,HONDA,1993.0
627,,FORD,1992.0
628,pickup or panel truck,NISSAN,1989.0
629,truck or truck tractor,MITSUBISHI,1999.0
630,pickup or panel truck,NISSAN,1986.0
631,truck or truck tractor,GMC,1998.0
632,passenger car,PLYMOUTH,1991.0
633,passenger car,MERCEDES-BENZ,1998.0
634,passenger car,VOLKSWAGEN,1973.0
635,,OTHER - TRUCK,1989.0
636,pickup or panel truck,GMC,1993.0
637,passenger car,JEEP,2000.0
638,truck or truck tractor with trailer,FREIGHTLINER,1986.0
639,passenger car,CHRYSLER,1986.0
640,passenger car,CADILLAC,1991.0
641,pickup or panel truck,MITSUBISHI,1992.0
642,passenger car,CHEVROLET,1984.0
643,truck or truck tractor with trailer,MACK,1989.0
644,pickup or panel truck,JEEP,1992.0
645,passenger car,PLYMOUTH,2001.0
646,passenger car,CADILLAC,1995.0
647,passenger car,ACURA,1991.0
648,passenger car,AUDI,1997.0
649,pickup or panel truck,TOYOTA,1996.0
650,pickup or panel truck,TOYOTA,1980.0
651,passenger car,LINCOLN,1990.0
652,passenger car,MAZDA,2000.0
653,passenger car,VOLVO,1991.0
654,passenger car,HONDA,1982.0
655,passenger car,DODGE,1976.0
656,motorcycle or scooter,SUZUKI,1995.0
657,passenger car,GMC,1988.0
658,passenger car,ISUZU,1999.0
659,truck or truck tractor,OTHER - TRUCK,1996.0
660,passenger car,MERCEDES-BENZ,1983.0
661,passenger car with trailer,ACURA,2000.0
662,passenger car with trailer,HONDA,2001.0
663,,OTHER - TRUCK,
664,pickup or panel truck,TOYOTA,1999.0
665,passenger car,FORD,1978.0
666,passenger car,HYUNDAI,1986.0
667,passenger car,INFINITI,1992.0
668,passenger car,CADILLAC,1994.0
669,pickup or panel truck,GMC,1990.0
670,passenger car,VOLKSWAGEN,1962.0
671,pickup or panel truck,CHEVROLET,1968.0
672,pickup or panel truck,FORD,1988.0
673,passenger car,CADILLAC,1987.0
674,passenger car,WINNEBAGO,2000.0
675,pickup or panel truck,MAZDA,1990.0
676,highway construction equipment,FORD,2001.0
677,passenger car,MERCURY,1984.0
678,schoolbus,FORD,1997.0
679,passenger car,SUBARU,1999.0
680,truck or truck tractor with trailer,PETERBILT,1999.0
681,passenger car,JEEP,
682,passenger car,CHRYSLER,1990.0
683,truck or truck tractor with trailer,,
684,passenger car,FORD,1982.0
685,passenger car,PONTIAC,1993.0
686,passenger car,MERCURY,2000.0
687,passenger car,OLDSMOBILE,1985.0
688,other vehicle,TOYOTA,1993.0
689,other vehicle,FORD,1986.0
690,passenger car,CADILLAC,1980.0
691,passenger car,ISUZU,1991.0
692,emergency vehicle,CHEVROLET,1994.0
693,pickup or panel truck with trailer,CHEVROLET,1989.0
694,motorcycle or scooter,HONDA,1981.0
695,passenger car,SUBARU,1991.0
696,pickup or panel truck,CHEVROLET,1999.0
697,passenger car,VOLVO,1985.0
698,motorcycle or scooter,HARLEY-DAVIDSON,2002.0
699,pickup or panel truck,OTHER - PICKUP,
700,truck or truck tractor,GMC,1996.0
701,pickup or panel truck,CHEVROLET,1956.0
702,passenger car,MERCEDES-BENZ,1997.0
